Hashtag,Username,User handle,Date of posting,Text,Retweet count,Like count,MLM
#avon,Michelle Beecham,@01shell,Mon Mar 21 14:15:25 +0000 2022,Are you a fan of the Far Away perfume? You're sure to love this home fragrance gift set. 🕯It's the ideal gift for M… https://t.co/SbWAPS5qJI,0,0,1
#avon,Michelle Beecham,@01shell,Mon Mar 21 11:35:31 +0000 2022,"Play around with new shades, try an eye-catching ocean blue, or even try glitzy eyeliner! Be brave with your look!… https://t.co/0dgqEODL1n",0,0,1
#lularoe,LaLa,@0ohhLaLaLa,Thu Mar 24 03:33:40 +0000 2022,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/Y2kkozkckv,0,0,1
#lularoe,Megan White,@1204boymomx3,Sun Mar 27 17:30:51 +0000 2022,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/CriFQV0S87,0,0,1
#gofundme,Paco,@12amPST,Tue Mar 29 01:18:24 +0000 2022,"I know this is a long shot, but if you know someone who can help, my life pretty much depends on insulin, and i'm u… https://t.co/aAau7Isgf1",0,1,0
#poshmark,14painting,@14painting,Tue Mar 29 03:22:58 +0000 2022,Check out this listing I just added to my #Poshmark closet: Unique Earrings ST Clear Stone Encased in Open Marquee… https://t.co/xTd09bKGCO,0,0,0
#poshmark,14painting,@14painting,Tue Mar 29 03:22:17 +0000 2022,Check out this listing I just added to my #Poshmark closet: ST Hoops. https://t.co/jlLudq2Jmz #shopmycloset @poshmarkapp,0,0,0
#poshmark,14painting,@14painting,Tue Mar 29 03:21:56 +0000 2022,Check out this listing I just added to my #Poshmark closet: ST Flower/Fan Shaped Earrings w/Detailing.… https://t.co/ruTIRjCUAL,0,0,0
#poshmark,14painting,@14painting,Tue Mar 29 03:21:17 +0000 2022,Check out this listing I just added to my #Poshmark closet: EUC ST  GT Intertwined Hoops. https://t.co/2zbxf0sTpy… https://t.co/PZZwUxgo5c,0,0,0
#poshmark,14painting,@14painting,Tue Mar 29 03:19:56 +0000 2022,Check out this listing I just added to my #Poshmark closet: Pressed Shell Earrings. https://t.co/CyhIZ8x50I #shopmycloset @poshmarkapp,0,0,0
#poshmark,14painting,@14painting,Tue Mar 29 03:19:17 +0000 2022,Check out this listing I just added to my #Poshmark closet: ST Tree of Life Earrings. https://t.co/ZC5PNk9g0u #shopmycloset @poshmarkapp,0,0,0
#poshmark,14painting,@14painting,Tue Mar 29 03:17:31 +0000 2022,Check out this listing I just added to my #Poshmark closet: BOHO/Bohemian Earrings Crème  Brown.… https://t.co/EOEW0ICjLG,0,1,0
#poshmark,14painting,@14painting,Tue Mar 29 03:17:14 +0000 2022,Check out this listing I just added to my #Poshmark closet: ST Black Earrings. https://t.co/KOhM5oYoG0 #shopmycloset @poshmarkapp,0,0,0
#poshmark,14painting,@14painting,Tue Mar 29 03:16:15 +0000 2022,Check out this listing I just added to my #Poshmark closet: Tree of Life Pendant with Crystals  an Owl.… https://t.co/4E8AMXqvrL,0,0,0
#poshmark,14painting,@14painting,Tue Mar 29 03:15:54 +0000 2022,Check out this listing I just added to my #Poshmark closet: ST Circle of CZ Earring. https://t.co/VsTGfgIMbH #shopmycloset @poshmarkapp,0,0,0
#poshmark,14painting,@14painting,Tue Mar 29 03:12:46 +0000 2022,Check out this listing I just added to my #Poshmark closet: NWOT SS  Gold Ring - Beautiful Intertwined  Detailed… https://t.co/zJ0ZsZkSe5,0,0,0
#lularoe,14painting,@14painting,Fri Mar 25 03:29:13 +0000 2022,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/UcGflh0fa6,0,0,1
#herbalife,David  Fernandes,@1davidfernandes,Sun Mar 27 19:48:18 +0000 2022,Do you do anything on the side? or the following#uber #Lyft #Freelance #mlm #networkmarketing#amway #Herbalife #vorwerk #Infinitus #Natura #avon #Yoli#marykay #Melaleuca #directselling #whateveryouwanttocallit #Primerica#AmbitEnergy #acn   My x #viri…https://t.co/oMIjZAmhLR,0,0,1
#avon,David  Fernandes,@1davidfernandes,Sun Mar 27 19:48:18 +0000 2022,Do you do anything on the side? or the following#uber #Lyft #Freelance #mlm #networkmarketing#amway #Herbalife… https://t.co/h1oz2vwEmG,0,0,1
#marykay,David  Fernandes,@1davidfernandes,Sun Mar 27 19:48:18 +0000 2022,Do you do anything on the side? or the following#uber #Lyft #Freelance #mlm #networkmarketing#amway #Herbalife #vorwerk #Infinitus #Natura #avon #Yoli#marykay #Melaleuca #directselling #whateveryouwanttocallit #Primerica#AmbitEnergy #acn   My x #viri…https://t.co/oMIjZAmhLR,0,0,1
#primerica,David  Fernandes,@1davidfernandes,Sun Mar 27 19:48:18 +0000 2022,Do you do anything on the side? or the following#uber #Lyft #Freelance #mlm #networkmarketing#amway #Herbalife #vorwerk #Infinitus #Natura #avon #Yoli#marykay #Melaleuca #directselling #whateveryouwanttocallit #Primerica#AmbitEnergy #acn   My x #viri…https://t.co/oMIjZAmhLR,0,0,1
#poshmark,1janiedough,@1janiedough1,Tue Mar 29 03:28:50 +0000 2022,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/eRj3L9t2u9,0,0,0
#gofundme,Tiffany Washington,@1tiffyt,Sun Mar 27 19:01:18 +0000 2022,Please support my GoFundMe campaign: https://t.co/DHduvnQlPh #GoFundMe,0,2,0
#herbalife,24Roots,@24RootsOfficial,Fri Mar 25 23:00:01 +0000 2022,"An herb is a plant or plant part used for its scent, flavor, or therapeutic properties. Herbal medicines are one type of dietary supplement.#herbal #24Roots #USA #HerbalMedicine #healthylifestyle #healthawareness #herbalife",0,0,1
#herbalife,24Roots,@24RootsOfficial,Thu Mar 24 22:59:00 +0000 2022,"If you are thinking about using herbal medicine, first get information on it from reliable sources. Make sure to tell your health care provider about any herbal medicines you are taking.#herbal #24Roots #USA #HerbalMedicine #healthylifestyle #healthawareness #herbalife",0,0,1
#herbalife,24Roots,@24RootsOfficial,Wed Mar 23 21:59:20 +0000 2022,"Thirty percent of the US population uses herbal remedies each year. In the past 10 years, the use of high dose vita… https://t.co/lsULYJjg14",0,0,1
#lularoe,Dawn D,@2ddetZ,Mon Mar 21 15:27:20 +0000 2022,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/VhsvcCafJx,0,0,1
#gofundme,Irene,@2Grk4you,Sun Mar 27 01:19:34 +0000 2022,https://t.co/TR69Su8GmP #GoFundMe# Please help my daughter’s book collection for the @AfricanLibraryP… https://t.co/cnYRJQGqg0,0,0,0
#lularoe,2 SWEET 2 BE 4GOTTEN∼On The Go,@2SWEET2BE,Fri Mar 25 04:28:53 +0000 2022,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @htgirl @spicychismosa #poshmark… https://t.co/VWaydljF67,0,0,1
#lularoe,3LT Fashionmugs,@3LTFashionMugs,Tue Mar 22 18:31:44 +0000 2022,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/GZUU4DBaDd,0,0,1
#etsy,grace,@3rdiesoterics,Tue Mar 29 01:44:23 +0000 2022,Spiritual San Simon Spray Mist https://t.co/cG1XY1xe36 #Etsy #3rdiesoterics #SanSimonSpray https://t.co/2VIt7qCrKF,0,0,0
#lularoe,4Jewelrybox,@4Jewelrybox,Mon Mar 28 15:30:19 +0000 2022,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #sorel #vans #lularoe: https://t.co/ksTCppMAG6 https://t.co/rsC6a2MtXy,0,0,1
#gofundme,Tarick_Rowe_4,@4Rowe,Tue Mar 29 01:42:54 +0000 2022,Click here to support Ava Faith's fight for life after a car accident organized by Renee  Rowe https://t.co/qYJGmR9YEa #GoFundMe,0,1,0
#avon,4theLoveofMilkGlass,@4theLoveofMilkG,Sat Mar 26 03:27:18 +0000 2022,"Check out Vintage Avon Cape Cod Ruby Red Glass Bell, 6 3/4"""" Tall Dark Red  #Avon https://t.co/g4Po1PDdXX via @eBay",0,0,1
#avon,4theLoveofMilkGlass,@4theLoveofMilkG,Sat Mar 26 03:08:54 +0000 2022,"Check out Vintage Avon Cape Cod Ruby Red Glass Bell, 6 3/4"""" Tall Dark Red  #Avon https://t.co/bEwolkBopl via @eBay",0,0,1
#minted,Tïñâ Sêdåï ,@5158Poundin,Sun Mar 27 01:59:24 +0000 2022,A fine ending in the Supporters Section!! Win #2!! #FortheCrown #InauguralSeason #MINTED Home is the place to be!! https://t.co/hAtpZHHq1W,0,1,0
#gofundme,Terry Gabis,@57sideburns,Mon Mar 28 13:55:14 +0000 2022,Still a bit to go to reach the goal! https://t.co/wb0enVie7S #GoFundMe,0,1,0
#avon,Kelly Knight,@72kellyknight,Tue Mar 22 14:29:48 +0000 2022,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/mCekBxtUzG,0,0,1
#avon,760whynot47,@760whynot47,Sun Mar 27 01:53:21 +0000 2022,"Check out Vintage Avon -  Wild Turkey After Shave Decanter Bottle, Empty in Original Box #Avon https://t.co/EiHDgu6KuM via @eBay",0,0,1
#avon,760whynot47,@760whynot47,Sat Mar 26 18:36:12 +0000 2022,Check out #Vintage Avon - Remember When! Gas Pump Bottle- Wild Country Men's After Shave  #Avon #gaspump  https://t.co/eRB8PjenCC via @eBay,0,0,1
#avon,760whynot47,@760whynot47,Sat Mar 26 18:33:30 +0000 2022,Check out Vintage Avon 1876 Centennial ExpressTrain Green Glass Bottle Everest After Shave #AVON https://t.co/Pf3OwvabYD via @eBay,0,0,1
#avon,760whynot47,@760whynot47,Sat Mar 26 18:27:09 +0000 2022,Check out Vintage Avon Pierce Arrow '33 Deep Woods After Shave Empty Bottle - Original Box #Avon https://t.co/b5KiW173Pe via @eBay,0,0,1
#poshmark,Jessica's treasure chest @gem_find on Poshmark,@777gemFIND,Tue Mar 29 03:27:36 +0000 2022,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @Simplyandiee #poshmark #fashion… https://t.co/ru4XxmRSaf,0,0,0
#lularoe,susan crites,@77suzyc,Tue Mar 22 02:28:54 +0000 2022,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @hinchmobb @htgirl #poshmark… https://t.co/adeIJjVWQV,0,0,1
#poshmark,Alan Alanis,@79Alanis,Tue Mar 29 03:28:21 +0000 2022,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/Vod6L5LnRH,0,0,0
#lularoe,Alan Alanis,@79Alanis,Mon Mar 21 09:27:54 +0000 2022,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @rachelmeanslamb #poshmark #fashion… https://t.co/XDjPbHhB4B,0,0,1
#lularoe,802_to_you,@802To,Sun Mar 27 13:28:01 +0000 2022,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @Brands4Y #poshmark #fashion #style… https://t.co/TYedDLdDoT,0,1,1
#lularoe,8fun.com,@8fun_com,Fri Mar 25 04:31:17 +0000 2022,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @klivingthedrm @LADYC20161… https://t.co/wuGMt7Gkci,0,0,1
#gofundme,The Truth Will Set You Free,@969Underdog,Mon Mar 28 21:58:07 +0000 2022,I'm raising money for He Did The Right Thing and Saved a Family. Click to Donate:  https://t.co/VLz1Igztap #GoFundMe,0,2,0
#poshmark,ShaunDell,@97sunfire,Tue Mar 29 03:29:33 +0000 2022,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/CAeR2xRaUq,0,0,0
#gofundme,2spiritedwoman314,@9Lilkimfan,Sun Mar 27 17:54:51 +0000 2022,I'm raising money for Help Black Trans woman with lupus and chronic pain. Click to Donate:  https://t.co/oQymWCJ3sV… https://t.co/fjW48hJ8Ti,0,3,0
#gofundme,ALL CAPS,@Aaron_Harman,Sun Mar 27 15:28:46 +0000 2022,https://t.co/S3TkszY5EV #GoFundMe Anything to help out a beautiful family is much appreciated!!,0,2,0
#avon,Aaron Little,@aaronlittle73,Mon Mar 28 15:20:25 +0000 2022,"I absolutely adore beauty products that multitask, so this lovely Cream Blush is just what I've been after. Just… https://t.co/VJY1LcnRCy",0,0,1
#avon,Aaron Little,@aaronlittle73,Sun Mar 27 11:15:51 +0000 2022,Do you want to make your eyes look more oval?Apply your liner to just your lash line - then go in and thicken the… https://t.co/UOTocWextp,0,0,1
#avon,Aaron Little,@aaronlittle73,Mon Mar 21 16:55:12 +0000 2022,"I'm ready for Spring with this new and limited edition Bloom Ka Boom eyeshadow palette in Very Peachy, with gorgeou… https://t.co/6H8pFXZgn8",0,0,1
#avon,Aaron Little,@aaronlittle73,Mon Mar 21 15:25:12 +0000 2022,"Have a test with lots of colours, perhaps an eye-catching vivid blue, or even try glitter eyeliner! Be original wit… https://t.co/3O07w6ynmI",0,0,1
#gofundme,AfterBurn2point0,@AB2Gaming,Sun Mar 27 18:38:45 +0000 2022,Please support my GoFundMe campaign: https://t.co/FKNsu0zgy9 #GoFundMe,0,2,0
#avon,Abigail Mitchell,@Abbiemitchell80,Mon Mar 21 16:30:19 +0000 2022,Masks takes out all of the hard work of doing your whole routine sometimes. Exfoliating masks are ideal if you need… https://t.co/NQShNjT5WL,0,0,1
#gofundme,Abby Taurus,@abbytaurus11,Sun Mar 27 15:40:14 +0000 2022,https://t.co/p8BnNRR6Hi...Please nothing is too small#GoFundMe,0,2,0
#gofundme,Abdulazeez Atolagbe,@AbdulazeezAtol2,Mon Mar 28 15:17:33 +0000 2022,"This is a serious life and death situation. we need your  help to save a life, click on the link to know more about… https://t.co/Hu4MgHpuRq",0,0,0
#gofundme,Angela Beresh,@aberesh83,Mon Mar 28 07:21:21 +0000 2022,I'm raising money for Angie's  medical and car fund. Click to Donate:  https://t.co/FVbqpn5azK #GoFundMe,0,3,0
#gofundme,Access For All Ireland,@AccessForAll7,Mon Mar 28 08:52:01 +0000 2022,https://t.co/JO36svpL8Z #GoFundMe gentle reminder for anyone who can contribute to the “Jocks  Socks” fundraiser!,0,2,0
#marykay,Adam from NY,@ACHYanks,Mon Mar 21 22:12:16 +0000 2022,#MaryKay was right. https://t.co/rBs9UxIzyy,0,2,1
#etsy,Lawrence Carter,@Acrossleather,Mon Mar 28 23:18:30 +0000 2022,"Excited to share the latest addition to my #etsy shop: Leather dog collar, Native American design leather collar, t… https://t.co/SlYfyPopIl",0,0,0
#etsy,Lawrence Carter,@Acrossleather,Mon Mar 28 23:18:08 +0000 2022,"Excited to share the latest addition to my #etsy shop: Handmade leather purple collar, pet collar, leather dog coll… https://t.co/OWVjVkMEan",0,0,0
#etsy,Lawrence Carter,@Acrossleather,Mon Mar 28 23:17:32 +0000 2022,"Excited to share the latest addition to my #etsy shop: Handmade leather dog collar, tag collar, tribal leather coll… https://t.co/fGZkk6dCUK",0,0,0
#etsy,Lawrence Carter,@Acrossleather,Mon Mar 28 23:17:09 +0000 2022,"Excited to share the latest addition to my #etsy shop: Leather dog collar, tag collar, female dog collar, pink dog… https://t.co/XYuf1rxA0G",0,0,0
#etsy,Lawrence Carter,@Acrossleather,Mon Mar 28 23:16:41 +0000 2022,"Excited to share the latest addition to my #etsy shop: Handmade leather dog collar, custom tribal collar, southwest… https://t.co/l6hfDgXuX2",0,0,0
#etsy,Lawrence Carter,@Acrossleather,Mon Mar 28 23:16:14 +0000 2022,"Excited to share the latest addition to my #etsy shop: Handmade leather dog collar, large pet collar, black  white… https://t.co/KTMP4CrwP9",0,0,0
#lularoe,Diane oputa,@Adametujewelry,Wed Mar 23 04:28:31 +0000 2022,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @CarolaTomanelli #poshmark #fashion… https://t.co/LPnM8ODHBj,0,0,1
#gofundme,Delvon Adams,@AdamsDelvon,Sun Mar 27 14:26:07 +0000 2022,I'm raising money for Help Delvon On His Back Rent. Click to Donate:  https://t.co/ZDYe8n9Boi #GoFundMe,0,2,0
#avon,Allison Adams,@Adamseve16,Mon Mar 28 19:55:12 +0000 2022," Don't let dull skin get you down  Give your skin the treat it deserves with our Anew Revitalising Copper Mask for smooth, rejuvanated-looking skin https://t.co/Pa2R6hvtQS#FaceMask #CopperFaceMask #Anew #Avon https://t.co/eCsXHuRUdB",0,0,1
#avon,Allison Adams,@Adamseve16,Mon Mar 28 10:55:24 +0000 2022,You know when you see everyday people with the most flawless skin and you wonder how they get it? It's like the hea… https://t.co/ANT8CEgFw3,0,0,1
#avon,Allison Adams,@Adamseve16,Sun Mar 27 10:15:25 +0000 2022,"Ever wondered how to unearth the perfect blusher shade for your skin tone? Whatever your skin's undertone is, check… https://t.co/lS8ip09QFi",0,0,1
#avon,Allison Adams,@Adamseve16,Sat Mar 26 11:30:52 +0000 2022,Avocados are good for your skin!The natural oils in avocados keep skin smooth and boost skin's immunity against… https://t.co/3yZdP7W3OE,0,0,1
#gofundme,Sarah,@AddictedAngell,Sun Mar 27 13:56:12 +0000 2022,I'm raising money for a loved one in need… Click to Donate:  https://t.co/WLEum9lHfk #GoFundMe,0,3,0
#gofundme,Adequate Funding,@AdequateFunding,Mon Mar 28 22:46:00 +0000 2022,Please #Support Today to my #GoFundme Campaign.#gofundme #gofundmedonations #gofundmecampaign #gofundmeplease… https://t.co/d41dwa0WZL,0,0,0
#gofundme,Adequate Funding,@AdequateFunding,Sun Mar 27 22:45:00 +0000 2022,Please #Support Today to my #GoFundme Campaign.#gofundme #gofundmedonations #gofundmecampaign #gofundmeplease… https://t.co/3Ctr1W5MYF,0,0,0
#gofundme,Adequate Funding,@AdequateFunding,Sat Mar 26 23:45:00 +0000 2022,Please #Support Today to my #GoFundme Campaign.#gofundme #gofundmedonations #gofundmecampaign #gofundmeplease… https://t.co/Tzz0igK9iV,0,0,0
#avon,Adina Jeyes,@adina_ridgeon,Mon Mar 28 17:20:26 +0000 2022,"Just loving the new Senses bubble baths, particularly the White Lily scent - it'll look great in my bathroom!  Available now, from £2.25. https://t.co/9l9qjicwKl #Avon #Beauty #AvonBeauty #Senses #Toiletries #BubbleBath https://t.co/6lqqJ2gYw8",0,0,1
#avon,Adina Jeyes,@adina_ridgeon,Sat Mar 26 11:41:18 +0000 2022,"Love that 'dewy' finish?Add a little highlighter under your foundation for that radiant, glowing look! I've got… https://t.co/oTB4tT6ckM",0,0,1
#avon,Adina Jeyes,@adina_ridgeon,Thu Mar 24 18:50:29 +0000 2022,"Do you go for a more natural, grown-out look? Or are you devoted to a meticulously carved out arch? … https://t.co/r2AC224YKV",0,0,1
#avon,Adina Jeyes,@adina_ridgeon,Tue Mar 22 11:45:12 +0000 2022,Do you want to make your eyes look more oval?Apply your eyeliner to just your lash line - then go in and thicken… https://t.co/I37gOR8sx0,0,0,1
#poshmark,Adriazure,@AdriazureX,Tue Mar 29 03:31:01 +0000 2022,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/wCo2ZglNdK,0,0,0
#gofundme,TOONtilidie,@ady_staff,Mon Mar 28 21:01:16 +0000 2022,I'm raising money for To help replace my condemned Boiler. Click to Donate:  https://t.co/pmJCxqbv7n #GoFundMe,0,1,0
#avon,Aelfryth Stead,@Aelfryth1,Thu Mar 24 18:50:38 +0000 2022,"Are you a lover of a more natural, grown-out look? Or are you devoted to a painstakingly carved out arch? … https://t.co/ebF4W5qaZg",0,0,1
#avon,Aelfryth Stead,@Aelfryth1,Wed Mar 23 18:55:26 +0000 2022,"I'm getting ready for spring with the new and limited edition Bloom Ka Boom range for eyes, nails, cheeks and lips… https://t.co/9unYCOlIdP",0,1,1
#etsy,Marcin Krawczyk - The MAesthetics Apparel,@Aesthetics4Body,Tue Mar 29 02:33:56 +0000 2022,Class Of 2022 Senior #seniors #Senior #senior2022 #Classof2022 #graduation #tshirt #tshirts #tshirtshop… https://t.co/42U79XEtWC,0,0,0
#etsy,Affira,@Affira22,Mon Mar 28 23:11:16 +0000 2022,Excited to share the latest addition to my #etsy shop: Women’s fitted v-neck t-shirt - Support Ukraine Not to the W… https://t.co/RRirgZzbTp,0,0,0
#gofundme,Agent Coach Ruffin,@agentruffin,Mon Mar 28 12:07:44 +0000 2022,#LifeInsurance #GenerationalWealth #GoFundMe #WillSmith #ChrisRock #KeepGoFundMeOutYourMouth …Inbox For An Appointm… https://t.co/VvIKjdNVwJ,0,2,0
#lularoe,Agnes Francis,@AgnesFr03378025,Mon Mar 21 18:30:08 +0000 2022,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/xbrRq1esXE,0,0,1
#avon,Agnieszka,@Agniesz19803612,Mon Mar 28 11:25:12 +0000 2022,"Thick, long, fine, frizzy... whatever your hair type is, there's a targeted treatment serum to suit you!  Whic… https://t.co/OnvtpM335u",0,0,1
#avon,Agnieszka,@Agniesz19803612,Wed Mar 23 15:00:14 +0000 2022,"Loving the new Senses bubble baths, particularly the White Lily scent - it'll look fab in my bathroom!  Available… https://t.co/QuO1qUsjwE",0,0,1
#gofundme,Filibusting Matriarch,@AH_Linkin,Mon Mar 28 16:17:31 +0000 2022,I'm raising money for Fund the creation of the next Audiobook. Click to Donate https://t.co/KvPU8i9Hpg #gofundme #readers #writing #author,0,2,0
#gofundme,dANiEl,@ahahadaniel,Sun Mar 27 02:36:59 +0000 2022,Yo boy need sum new shoes https://t.co/kDUI0w1V56 #GoFundMe,0,2,0
#poshmark,ahappymermaid,@ahappymermaid,Tue Mar 29 03:27:28 +0000 2022,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @DanBotteh09 #poshmark #fashion… https://t.co/rK7hWjUSVI,0,0,0
#etsy,IntoTheWildUSA,@AimeeJMartin2,Tue Mar 29 02:23:30 +0000 2022,Excited to share the latest addition to my #etsy shop: Dubbin Leather Balm: All-Natural Sheep Tallow Based… https://t.co/LghFcJRESJ,0,0,0
#etsy,IntoTheWildUSA,@AimeeJMartin2,Tue Mar 29 02:23:07 +0000 2022,Excited to share the latest addition to my #etsy shop: Lymphatic Support Tea Blend/Lymph Stagnation Support Tea… https://t.co/QobfC6R8QH,0,0,0
#gofundme,Aimee LaFauci,@AimeeLafauci,Sun Mar 27 21:00:05 +0000 2022,I'm raising money for Help Kermit survive and thrive. Click to Donate:  https://t.co/hFutOILURE #GoFundMe,0,0,0
#gofundme,Chris Barnes,@airmale60,Sun Mar 27 20:34:41 +0000 2022,I'm raising money for Chris Barnes Survival Fund. Click to Donate:  https://t.co/HbQF9qAae4 #GoFundMe,0,1,0
#minted,Duck Weenies NFT,@AirsinnerNFT,Sun Mar 27 18:06:27 +0000 2022,First official Mad Duck Weenies  #1 is #nft #live #mintedCheck out this item on OpenSea https://t.co/4AbcHzaPq8 v… https://t.co/hkFooEvveJ,0,2,0
#poshmark,Gina R H-J,@Ajaxgh15,Tue Mar 29 03:16:27 +0000 2022,Check out this listing I just added to my #Poshmark closet: ♠️HP♠️ Kate Spade Shimmy Glitter Crossbody.… https://t.co/HjCtNnEMDt,0,0,0
#poshmark,Audrey Kimbrough,@AKimbro57,Tue Mar 29 03:27:23 +0000 2022,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/gVPIKZ8hNa,0,0,0
#lularoe,alemel,@AlemelCarvaj2,Sun Mar 27 16:30:52 +0000 2022,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @MsGandMe1 #poshmark #fashion… https://t.co/nukdFW8jDN,0,0,1
#lularoe,Alexandra,@Alexand79295540,Tue Mar 22 02:30:46 +0000 2022,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @BethHutchison12 #poshmark #fashion… https://t.co/rtITLI0nwp,0,0,1
